sourceKeyword,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
요거트,ORBIT 요거트 젤리 복숭아맛,캔디류,제조일부터  8개월,,(주)한미식품,2015046416667,20160107,20160706
요거트,P 퓨어 요거트파우더,당류가공품,제조일로부터 18개월,,주식회사 이노라이즈컴퍼니,20120358156114,20170609,20170615
요거트,P)딸기요거트(조각),빵류,제조일로부터 냉동(-18℃이하) 4개월까지,,(주)파리크라상,198802750017006,20250130,20260310
요거트,PAS)카사타 요거트 블루베리,빵류,제조일로부터 4개월까지,,(주)파리크라상,198802750016722,20230615,20240313
요거트,PAS)카사타 요거트 블루베리,빵류,제조일로부터 냉동(-18℃이하) 4개월까지,,(주)파리크라상,200601812661241,20250418,20250423
요거트,PBICK 하루한봉요거트,땅콩 또는 견과류가공품,제조일로부터 10개월,,(주)맑은농산 (신공장),20130333288133,20260406,20260418
요거트,Plus 82 요거트파우더,기타가공품,제조일로부터 2년까지,,플레이버팝스(주),20140275259558,20230830,20250122
요거트,P카사타요거트블루베리,빵류,제조일로부터 냉동(-18℃이하) 4개월까지,,(주)파리크라상,200601812661239,20250409,20250415
요거트,S2 요거트 파우더,당류가공품,제조일로부터 18개월,해당사항 없음,세미기업(주),1991049004094,20150429,20240117
치즈,(반)치즈수플레,빵류,제조일로부터 30일까지,,(주)한스제과,20100288523144,20170927,20171001
치즈,(반)치즈케익,빵류,제조일로부터 냉동30일,,(주)한스제과,2010028852312,20101104,20160926
치즈,(벌크용)베이컨치즈샌드위치,즉석섭취식품,제조시부터  96 시간,,(주)대정,20190545009421,20220920,20240406
치즈,(벌크용)햄치즈샌드,즉석섭취식품,제조시부터  96 시간,,(주)대정,20190545009400,20220810,20220811
치즈,(삼동)치즈돈까스,식육함유가공품,제조일로부터 12개월까지,,지푸드,2019032433689,20250306,20260611
치즈,(생)미니크림치즈,빵류,제조일로부터 냉동 6개월,,나폴레옹베이커리,2018010887615,20181227,20200513
치즈,(생)쁘띠치즈,빵류,제조일로부터 6개월,,(주)블랑제리 김영모,20150275316136,20260102,20260104
치즈,(생)크림치즈크라상,빵류,제조일로부터 냉동 6개월,,나폴레옹베이커리,201801088762,20181221,20200316
치즈,(생지)모짜 쫀득 치즈볼,빵류,제조일로부터 9개월,,주식회사에이앤인니푸드,20060364111315,20260226,20260312
치즈,(성말)라즈베리크림치즈스콘,빵류,제조일로부터 냉동 9개월,,오늘디저트,20220505149125,20241217,20241220
치즈,(성말)블루베리크림치즈스콘,빵류,제조일로부터 냉동 9개월,,오늘디저트,20220505149112,20240702,20241220
치즈,(성말)올리브치즈스콘,빵류,제조일로부터 냉동 9개월,,오늘디저트,20220505149126,20241217,20241220
치즈,(수출)크림치즈호두과자빵용토핑물,기타가공품,제조일로부터 180일,,씨제이푸드빌주식회사,199704451444055,20240126,20240130
치즈,(완제품) 납작쫀득쿠키 황치즈,과자,제조일로부터 12개월,,나눔베이커리 협동조합,20210398767176,20250225,20250905
치즈,(완제품)르뱅 황치즈쿠키,과자,제조일로부터 냉동 6개월,,나눔베이커리 협동조합,20210398767128,20230127,20250522
치즈,(완제품)황치즈르뱅쿠키,과자,제조일로부터 40일,,나눔베이커리 협동조합,20210398767154,20231121,20231125
치즈,(잇모닝)더블치즈군고구마케이크,빵류,제조일로부터 12개월까지,,(주)데이드림,202504083468,20250731,20260609
치즈,(자사)치즈케이크,빵류,제조일로부터 6개월,,해누리기업 주식회사,20240542624106,20240917,20250118
치즈,(차차커피코)냉동완제_라즈베리 크림치즈 쿠키,과자,냉동보관 제조일로부터 6개월,,로로에프엔비주식회사,20170383088166,20210901,20260528
치즈,(차차커피코)냉동완제_약과크림치즈쿠키,과자,제조일로부터 6개월까지,,로로에프엔비주식회사,20170383088145,20181212,20260529
