sourceKeyword,sourceKeywords,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
계란,,채소계란구이(S),즉석조리식품,제조일로부터 12개월,,(주)현대그린푸드 스마트푸드센터,201902803273700,20240704,20240807
계란,,채소계란찜,즉석조리식품,제조일로부터 7일,,주식회사 플라잉닥터 제2공장,20250483015948,20260515,20260523
계란,,천사의 계란쿠키,과자,실온 12개월,,(주)대산후드 탄현2공장,19930355028239,20220105,20230603
계란,,천일냉동 리얼밸런스 현미곤약 계란볶음밥,즉석조리식품,제조일로부터 9개월까지,,천일식품(주),199301993491282,20211216,20220101
계란,,천일냉동 만능계란요리밥,즉석조리식품,제조일로부터 12개월까지.,,천일식품(주),199301993491299,20220418,20240808
계란,,천일냉동 중화계란볶음밥,즉석조리식품,제조일로부터 12개월까지.,,천일식품(주),199301993491244,20210621,20240808
계란,,청경채계란탕,영.유아용 이유식,제조일로부터 25일,해당없음,(주)푸드케어 2공장,20220396175672,20220526,20260321
계란,,청년고기장수 계란볶음밥시즈닝,복합조미식품,제조일로부터 12개월,,태원식품산업(주),1985031100114621,20240603,20240621
계란,,청양닭가슴살비엔나샐러드 & 곤약계란볶음밥,즉석조리식품,제조일로 12개월,,(주)푸드인모닝스타,202204935639,20220520,20220523
계란,,청키면가 계란면,생면,60일,,농업회사법인 다선(주),2010035805026,20120514,20180929
계란,,체다치즈계란말이,즉석섭취식품,제조일로부터 4일,,(주)하니푸드,20210268770326,20230613,20240706
계란,,초밥맛나라(계란맛),복합조미식품,제조일로부터1년,,(주)제일푸드원,2002043507429,20030604,20210625
계란,,초코계란빵,빵류,제조일로부터 12개월,,호모사피엔스,2024027457217,20250416,20250417
계란,,촉촉계란&참치샌드,즉석섭취식품,제조시간으로부터 72시간,-,(주)한국데리카후레쉬,20120358388870,20241206,20260126
계란,,촉촉계란&참치샌드,즉석섭취식품,제조일시로부터 72시간이내,,(주)후레쉬서브,200803362281489,20241209,20250903
계란,,촉촉계란샌드,즉석섭취식품,제조시간으로부터 72시간,-,(주)한국데리카후레쉬,20120358388818,20240624,20260312
계란,,촉촉계란샌드위치,즉석섭취식품,제조일시로부터 72시간,,(주)후레쉬서브,200803362281594,20251119,20260423
계란,,촉촉계란샌드위치,즉석섭취식품,제조일의 제조시간으로부터 72시간,,(주)가온에프에스,20110528067938,20240630,20260306
계란,,촉촉계란찜,기타가공품,7일,,데일리식품 주식회사,20190361854182,20190815,20220831
계란,,촉촉계란흰자 샌드,즉석섭취식품,제조일시로부터 72시간 이내,,(주)후레쉬서브,200803362281584,20251019,20251204
계란,,최강록셰프의날치알명란계란말이,즉석섭취식품,제조일의 제조시간으로부터 72시간,,(주)가온에프에스,201105280671112,20260207,20260602
계란,,최강록셰프의일식계란김밥,즉석섭취식품,제조일의 제조시간으로부터 72시간,,(주)가온에프에스,201105280671123,20260418,20260421
계란,,추억의 계란 어묵전,기타 어육가공품,제조일로부터 12개월,,주식회사 스마일푸드,2021049424041,20250917,20250919
계란,,추억의 계란 어육소세지전,기타 어육가공품,제조일로부터 12개월,,주식회사 스마일푸드,2021049424042,20250917,20250919
계란,,추억의 계란빵,빵류,제조일로부터 냉동보관(-18도이하) 12개월,,주식회사 마크로드제과,20060368135642,20240214,20251112
계란,,추억의 햄치즈 계란빵,빵류,제조일로부터 냉동보관(-18도이하) 12개월,,주식회사 마크로드제과,20060368135643,20240214,20251112
계란,,치즈 계란구이,즉석조리식품,제조일로부터 5일,,도리깨침,20200280142917,20251121,20251125
계란,,치즈계란 모닝머핀,즉석섭취식품,제조일로부터 5일까지,제조일로부터 5일까지,농업회사법인(주) 담푸른,2016033866980,20220511,20240528
계란,,치즈계란김밥,즉석섭취식품,제조시간으로부터 48시간,,(주)우리델리카,20150443298404,20201221,20201222
계란,,치즈계란말이,조림류,제조일로부터 7일,,(주)육십오도씨,20220274644208,20250522,20250724
계란,,치즈계란말이,즉석조리식품,제조일로부터 4일,,(주)수미찬,2021004283284,20220323,20220325
계란,,치즈계란말이,즉석조리식품,제조일로부터7일,,주식회사장모님에프앤비,20230300165151,20240807,20240809
계란,,치즈계란말이,즉석섭취식품,제조일로부터 냉장 4일,제조일로부터 냉장 4일,(주)푸드윈,20080342441230,20200901,20200915
계란,,치즈계란빵,빵류,제조일로부터 6개월까지,,(주)라온씨앤비,20180162202124,20231211,20231213
계란,,치즈계란혼합분말,복합조미식품,제조일로부터 18개월까지,,주식회사 썬에프엘,200003440641117,20240730,20240809
계란,,치즈새우계란밥,즉석조리식품,제조일로부터 12일,,순수본 주식회사,20180491181427,20210224,20250507
계란,,치즈앤베이컨 계란빵,빵류,제조일부터9개월까지,,(주)도깨비제과,202402838502,20240813,20240913
계란,,치즈야채계란푸딩,즉석조리식품,제조일로부터 30일,,주)짱죽,20140512224911,20251202,20251203
계란,,치즈폭탄 계란말이,즉석조리식품,제조일로부터 7일,,주식회사찬장에프에스대전,20220321100849,20250624,20260530
계란,,치킨간장계란한끼곤약컵도시락,즉석조리식품,제조일로부터 냉동(-18℃이하) 9개월,해당없음,(주)사랑과정성,20100368370145,20220221,20220223
계란,,치킨과계란,즉석조리식품,제조일로부터 12개월,,한국에스비식품(주),196903640042279,20260401,20260407
계란,,치킨마요계란덮밥,즉석섭취식품,제조시간으로부터 45시간 까지,,롯데용인CK 주식회사,200003470523064,20240722,20260109
계란,,치킨카레볶음밥과계란후라이,즉석조리식품,제조일로부터 12개월까지,,(주)푸드인모닝스타,20220493563227,20241203,20241207
계란,,카페차 베이컨 치즈계란빵,빵류,제조일로부터 냉동보관(-18도이하) 9개월,,주식회사 마크로드제과,20060368135636,20230517,20240719
계란,,커피팡 계란빵용 베이스,소스,제조일로부터 12개월까지,,(주)한백티에프,20170442145879,20250709,20260612
계란,,컴포즈 계란가득 샐러드,즉석섭취식품,제조일로부터 40일까지,,(주)엠디에스코리아 1공장,20070355264657,20260513,20260522
계란,,컵밥 김치볶음밥&계란후라이,즉석조리식품,제조일로부터 냉동보관(-18℃이하) 9개월,,주식회사 가람식품,2020015600668,20220105,20220122
계란,,컵밥 참치김치볶음밥&계란후라이,즉석조리식품,제조일로부터 냉동보관(-18℃이하) 9개월,,주식회사 가람식품,2020015600674,20220105,20220122
계란,,컵플렉스 간장계란밥소스,소스,제조일로부터 6개월,,씨엠푸드,20040311153224,20231017,20260201
계란,,코다노 계란입힌 노란 동태전,즉석조리식품,제조일로부터 12개월,,농업회사법인(주)영풍,20220233480224,20260423,20260602
계란,,코이 간장계란소스,소스,제조일로부터3개월,,주식회사 코이,201802801764,20180707,20240912
계란,,코코넛 계란 도너츠,빵류,제조일로부터 3개월,,한국제과식품협동조합,2014018801625,20230518,20250109
계란,,코코아계란과자,과자,제조일로 부터 1년,제조일로 부터 1년,주식회사 제주내먹,20130631190244,20230526,20230602
계란,,콘&치즈 계란빵,빵류,제조일로부터 12개월,,그린에프앤비,20180350220110,20241101,20241102
계란,,콘치즈 계란빵,빵류,제조일로부터12개월(냉동보관),,(주)한국푸드본 정관공장,20190156205240,20250109,20250110
계란,,콘치즈 계란빵,빵류,제조일로부터 12개월,,그린에프앤비,20180350220106,20240812,20250117
계란,,콘치즈 계란빵,빵류,제조일로부터 9개월,,(주)그린비엔에프,20220510689109,20241105,20260201
계란,,콘치즈 계란빵,빵류,제조일부터9개월까지,,(주)도깨비제과,202402838506,20241002,20241005
계란,,콘치즈 베이컨 계란빵,빵류,제조일로부터 6개월까지,,중독팩토리,2019006437560,20231204,20260606
계란,,콘치즈계란빵,빵류,제조일로부터 냉동보관(-18도이하) 9개월,,(주)아린에프앤비,20150368081470,20230911,20231006
계란,,콘치즈계란빵,빵류,제조일로부터 6개월까지,,(주)라온씨앤비,20180162202123,20231124,20231211
계란,,퀴노아영양밥/계란볶음밥/닭갈비,체중조절용 조제식품,제조일로부터 1년(냉동보관),,(주)맛과벗,20170362092504,20260318,20260403
계란,,큐원홈메이드 계란빵믹스,기타가공품,제조일로부터 12개월,,한국에스비식품(주),196903640041917,20221216,20260201
계란,,크래미계란말이,즉석조리식품,제조일로부터 4일,,(주)수미찬,2021004283279,20220322,20220325
계란,,크래미계란탕,즉석조리식품,제조일로부터 12일,,순수본 주식회사,20180491181663,20250422,20250425
계란,,크루밀-구운계란카레덮밥,즉석조리식품,제조일로부터 냉동 9개월,,다원푸드서비스(주) 쉐프랑,202104240501395,20260220,20260221
계란,,크루밀-중화비빔밥&계란후라이,즉석조리식품,제조일로부터 냉동 9개월,,다원푸드서비스(주) 쉐프랑,202104240501250,20250919,20250920
계란,,크리스탈제이드 중화계란 볶음밥,즉석조리식품,제조일로부터 12개월까지,,농업회사법인 주식회사 한우물,200804930741504,20241018,20241025
계란,,크림굴림만두와 곤약간장계란밥,즉석조리식품,제조일로부터 12개월까지,,(주)푸드인모닝스타,20220493563126,20230824,20230831
계란,,크림듬뿍 계란카스테라,빵류,제조일로부터 20일까지 (실온),,(주)샤니,197102750035188,20220317,20230620
계란,,큰컵 참참참 계란탕면,유탕면,제조일로부터 6개월 까지.,,삼양식품(주)원주공장,198803831271651,20180919,20230610
계란,,큰컵 참참참 계란탕면 스프,복합조미식품,제조일로부터 10개월까지.,,삼양식품(주)원주공장,198803831271649,20180919,20230610
계란,,키다리 계란쑥갓블럭,기타가공품,제조일로부터 18개월,,동림푸드(주),19910386025667,20241030,20241108
계란,,키즈계란말이,즉석조리식품,제조일로부터 5일,,(주)도마소리,20220241566636,20260202,20260210
계란,,탄탄&계란면,즉석조리식품,제조일로부터 12개월,,(주)현대그린푸드 스마트푸드센터,201902803272171,20210831,20210907
계란,,탑핑)계란후라이&쏘야볶음,즉석섭취식품,제조시간으로부터 72시간,,(주)제이비프레시,20200620210646,20260624,20260625
계란,,태극당 계란쿠키,과자,제조일로부터 8개월,,제이브라운씨엔엠,2020036100660,20210802,20210814
계란,,탱탱계란찜 세트,암환자용 식단형 식품,제조일로부터 4일,,(주)현대그린푸드 스마트푸드센터,201902803272737,20230112,20230117
계란,,테오스 계란 땅콩빵 반죽,빵류,제조일로부터 6개월까지,,테오스(TEOS),20080375174112,20251127,20251203
계란,,토마토계란볶음,즉석조리식품,제조일로부터 7일,,주식회사 플라잉닥터 제2공장,20250483015960,20260525,20260527
계란,,토마토계란볶음,즉석조리식품,제조일로부터 12일,,순수본 주식회사,20180491181645,20250213,20250214
계란,,토마토계란볶음,즉석조리식품,제조일로부터 7일,,라임에프앤비(주),20210222240595,20241209,20241210
계란,,토마토계란볶음밥,즉석조리식품,제조일로부터 9개월까지,,(주)아워홈,200206141791107,20240812,20240814
계란,,토마토계란볶음밥,영.유아용 이유식,제조일로부터 25일,해당없음,(주)푸드케어 2공장,20220396175152,20220401,20260321
계란,,토마토계란볶음소스,소스,제조일로부터 3개월,,(주)찬들푸드,20210301832458,20260414,20260415
계란,,토마토계란소스,소스,제조일로부터 냉동 12개월까지,,(주)신원에프아이,200003643481417,20231011,20260201
계란,,토마토계란소스,소스,제조일로부터12개월,,(주)소스플러스,20180374830566,20250617,20251202
계란,,토마토계란스튜,영.유아용 이유식,제조일로부터 25일,해당없음,(주)푸드케어 2공장,2022039617593,20220330,20260501
계란,,토마토계란한우밥,영.유아용 이유식,제조일로부터 15일,,주식회사 플라잉닥터 제2공장,20250483015324,20250714,20260620
계란,,토마토치킨버터커리&곤약계란밥&통밀또띠아,즉석조리식품,제조일로부터 1년,,농업회사법인(주)별담푸드,2025092401459,20251015,20251017
계란,,토핑유부초밥(참치&계란&기본),즉석섭취식품,제조시간으로부터 37시간,,롯데용인CK 주식회사,200003470522848,20220525,20231219
