sourceKeyword,sourceKeywords,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
무,무,(개두릅)음나무순장아찌,절임식품,,제조일로부터 12개월,수림원 농업회사법인 주식회사,201004640703,20130128,20161011
고등어,고등어,(건)고구마순고등어조림,조림류,제조일로부터 6일,,라임에프앤비(주),20210222240448,20221209,20240201
된장,된장,(고궁)집된장,된장,1년,,고궁,2003037607095,20180109,20180120
새우,새우,(고메)깐쇼새우,기타 수산물가공품,제조일로 부터 12개월까지,,초산씨푸드(주),2019014484099,20221219,20260207
간장,간장,(고베규카츠)간장소스,소스,냉장6개월,,(주)다미푸드텍,200204451302150,20250519,20250523
소스,소스,(고베규카츠)단호박크림소스,소스,냉장2개월,,(주)다미푸드텍,200204451302170,20250604,20260203
소스,소스,(고베규카츠)매콤불닭소스,소스,냉장6개월,,(주)다미푸드텍,200204451302155,20250519,20250521
고추,고추,(고추장)깐풍기소스,소스,제조일로부터 6개월까지,,엠지푸드솔루션 주식회사,200100535801831,20230404,20230406
고추,고추,(고추장)찌개용진양념,소스,제조일로부터 9개월,,매일식품주식회사,19550509001438,20180416,20241213
국수,국수,(고향보쌈칼국수) 파전믹스,곡류가공품,제조일로부터 12개월까지,,주식회사 제이푸드서비스,20110360063503,20260112,20260206
국수,국수,(고향보쌈칼국수)김치다대기,소스,제조일부터 9개월까지,,성신푸드,20050360078184,20260205,20260207
국수,국수,(고향보쌈칼국수)생칼국수면대,생면,제조이로부터 60일,,성신푸드,20050360078183,20260205,20260207
국수,국수,(고향보쌈칼국수)얼큰해물육수원액,소스,제조일로부터 9개월 냉동보관,,성신푸드,20050360078185,20260205,20260207
국수,국수,(고향보쌈칼국수)칼국수면대,생면,제조일부터 9개월까지,,성신푸드,20050360078186,20260213,20260217
김,김,(교동면옥)나박물김치,김치,제조일로부터60일,,(주)원정푸드,2021015701931,20220209,20230623
무,무,(교동면옥)냉면무김치,김치,제조일로부터 180일,,(주)원정푸드,2021015701927,20220209,20220212
김,김,(교동면옥)백김치,김치,제조일로부터 45일,,(주)원정푸드,2021015701930,20220209,20230623
무,무,(교동면옥)열무물김치,김치,제조일로부터60일,,(주)원정푸드,2021015701932,20220209,20240112
김,김,(교동면옥)포기김치,김치,제조일로부터90일,,(주)원정푸드,2021015701929,20220209,20260108
소스,소스,(국)쭈꾸미소스,소스,제조일로부터 12개월,생략,주식회사 태범프레시,2021039820737,20231117,20260207
낙지,낙지,(국내산 채소로 만든)얼큰낙지김치죽,즉석조리식품,제조일로부터 9개월까지,,주식회사 동방푸드마스타,1991044507710215,20260528,20260529
소스,소스,(국내산 채소로 만든)하이라이스 덮밥 소스,소스,제조일로부터 9개월까지,,주식회사 동방푸드마스타,1991044507710198,20260528,20260603
멸치,멸치,(국내산) 멸치무침,절임식품,제조일로부터 180일,,(주)순할머니반찬,19910042026108,20120220,20221023
무,무,(국내산)홍가리비초무침,절임식품,제조일로부터 7일,,라임에프앤비(주),20210222240614,20241216,20241219
깻잎,깻잎,(국산)간장깻잎,절임식품,제조일로부터180일까지,,(주)순할머니반찬,19910042026142,20180116,20221007
고추,고추,(국산)고추무침,절임식품,제조일로부터 180일,,(주)순할머니반찬,19910042026103,20120220,20221010
고추,고추,(국산)고추양념무침,절임식품,제조일로부터 180일,생략,농업회사법인 소생로컬푸드 주식회사 제2공장,20210559160376,20240613,20240615
깻잎,깻잎,(국산)깻잎무침,절임식품,제조일로부터180일까지,,(주)순할머니반찬,19910042026141,20180116,20221010
고추,고추,(국산)된장고추,절임식품,제조일로부터 180일,,(주)순할머니반찬,1991004202699,20120220,20201224
깻잎,깻잎,(국산)된장깻잎,절임식품,제조일로부터 180일까지,,(주)순할머니반찬,19910042026143,20180118,20221010
무,무,(국산)무말랭이,절임식품,제조일로부터 180일,,(주)순할머니반찬,19910042026100,20120220,20221023
오이,오이,(국산)오이무침,절임식품,제조일로부터180일까지,,(주)순할머니반찬,19910042026144,20180123,20221007
김,김,(군)갓김치,김치,제조일로부터 90일,,(주)동심,19820433005198,20200110,20230119
김,김,(군)김장김치,김치,제조일로부터 90일,,(주)동심,19820433005188,20200110,20230120
김,김,(군)막김치,김치,제조일로부터 90일,,(주)동심,19820433005190,20200110,20230119
김,김,(군)물김치,김치,제조일로부터 90일,,(주)동심,19820433005199,20200110,20230119
배추,배추,(군)배추김치,김치,제조일로부터 90일,,(주)동심,19820433005189,20200110,20230119
김,김,(군)백김치,김치,제조일로부터 90일,,(주)동심,19820433005197,20200110,20230119
배추,배추,(군)양배추김치,김치,제조일로부터 90일,,(주)동심,19820433005192,20200110,20230119
무,무,(군)열무김치,김치,제조일로부터 90일,,(주)동심,19820433005193,20200110,20230119
오이,오이,(군)오이김치,김치,제조일로부터 90일,,(주)동심,19820433005195,20200110,20230119
오이,오이,(군)오이소박이,김치,제조일로부터 90일,,(주)동심,19820433005196,20200110,20230119
김,김,(군)총각김치,김치,제조일로부터 90일,,(주)동심,19820433005194,20200110,20230119
김,김,(군)파김치,김치,제조일로부터 90일,,(주)동심,19820433005200,20200110,20230120
바나나,바나나,(굿푸드)바나나베이스,음료베이스,제조일부터 6개월 (냉장보관),,(주)동원홈푸드,2002046107315368,20241125,20241126
소스,소스,(굿푸드)제육볶음소스,소스,제조일부터 6개월 (냉장보관),,(주)동원홈푸드,2002046107315529,20250122,20250123
소스,소스,(굿푸드)제육볶음소스,소스,제조일부터 6개월 (냉장보관),,(주)동원홈푸드,201904421492511,20250122,20250201
소스,소스,(깻떡)달콤소스,소스,제조일로부터 12개월,,주식회사 혜성식품,20010263055914,20240715,20240719
꿀,꿀,"(꽃)꿀,바람떡",떡류,제조일로부터 3일,,노아외식산업 주식회사,20160237183256,20220805,20241105
꿀,꿀,(꽃)꿀떡,떡류,제조일로부터 3일,,노아외식산업 주식회사,20160237183199,20210506,20260324
꿀,꿀,(꽃)꿀떡(궁),떡류,제조일로부터 12개월,,노아외식산업 주식회사,20160237183180,20200604,20260324
소스,소스,(나나방콕)?얌소스,소스,제조일로부터 6개월까지,,(주)에프앤에스식품,202103521781954,20251120,20251220
소스,소스,(나나방콕)고기양념소스,소스,제조일로부터 4개월,,태원식품산업(주),1985031100114831,20240813,20241008
소스,소스,(나나방콕)느억맘소스,소스,제조일로부터 6개월까지,,(주)에프앤에스식품,202103521781947,20251117,20251120
볶음밥,볶음밥,(나나방콕)볶음밥소스,소스,제조일로부터 6개월까지,,(주)에프앤에스식품,202103521781953,20251118,20251220
볶음밥,볶음밥,(나나방콕)볶음밥소스(조리용),소스,제조일로부터 6개월,,태원식품산업(주),1985031100115285,20241219,20241228
볶음밥,볶음밥,(나나방콕)볶음밥소스(조리용),소스,제조일로부터 6개월까지,,(주)에프앤에스식품,202103521781948,20251120,20260123
불고기,불고기,(나나방콕)불고기소스,소스,제조일로부터 5개월,,태원식품산업(주),1985031100114833,20240813,20241008
불고기,불고기,(나나방콕)불고기소스,소스,제조일로부터 6개월까지,,(주)에프앤에스식품,202103521781938,20251110,20251120
양파,양파,(나나방콕)양파절임소스,소스,제조일로부터 6개월까지,,(주)에프앤에스식품,202103521781950,20251117,20251127
양파,양파,(나나방콕)양파절임소스,소스,제조일로부터 6개월,,태원식품산업(주),1985031100114832,20240813,20240820
치킨,치킨,(나나방콕)타이캐슈넛치킨소스,소스,제조일로부터 6개월까지,,주식회사 동방푸드마스타,199104450779435,20240822,20240823
쿠키,쿠키,(냉)모카쿠키찰빵,빵류,제조일로부터 9개월까지,,(주)굿투베이크,20100275218399,20240416,20240427
블루베리,블루베리,(냉)블루베리베이글F,빵류,제조일부터 6개월까지(-18℃ 이하),,(주)에이비피홀딩스,20050275198430,20221013,20221019
사과,사과,(냉)사과파이,빵류,제조일로부터 12개월까지 (냉동보관 -18℃이하),,(주)닥터브레드,20230501149195,20240823,20251119
소시지,소시지,(냉)소시지롤,빵류,제조일로부터 6개월까지,,화이트도우,2009027510493,20180725,20220819
치즈,치즈,(냉)찹쌀치즈볼,빵류,제조일로부터 6개월까지,,(주)굿투베이크,20100275218294,20190614,20250524
치즈,치즈,(냉)치즈볼,빵류,제조일로부터 6개월까지,,(주)굿투베이크,20100275218291,20190427,20250527
쿠키,쿠키,(냉)쿠키찰빵,빵류,제조일로부터 9개월까지,,(주)굿투베이크,20100275218346,20210602,20240403
우유,우유,(냉)탕종우유식빵,빵류,제조일부터 9개월까지(-18℃ 이하),,(주)비씨2000,20120275156162,20220119,20230824
우유,우유,(냉)통밀우유식빵,빵류,제조일로부터 9개월까지,,(주)비씨2000,20120275156241,20250507,20250509
쿠키,쿠키,(냉)통밀쿠키,빵류,제조일로부터 6개월까지,,(주)에이비피홀딩스,20050275198390,20190520,20220619
쿠키,쿠키,(냉)플레인쿠키,빵류,제조일로부터 6개월까지,,(주)굿투베이크,20100275218285,20190415,20220618
치즈,치즈,(냉)흑미치즈볼,빵류,제조일로부터 6개월까지,,(주)굿투베이크,20100275218303,20191016,20250524
어묵,어묵,"(냉동, 쿠팡)바른어묵 얇은사각",어묵,제조일로부터 12개월 까지,,(주)동원에프앤비 진천2공장,2025067241124,20260505,20260507
케이크,케이크,(냉동) 초코크런치 팝시클케이크,빵류,제조일로부터 냉동 9개월,제조일로부터 냉동 9개월,(주)대하,202205292164,20220726,20221111
고구마,고구마,(냉동)고구마무스,빵류,제조일로부터 180 일,,(주)현대그린푸드 베이커리공장,2016027538810,20161226,20241102
불고기,불고기,(냉동)고기듬뿍 서울식 버섯 불고기,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),2021021229899,20220328,20250424
버터,버터,(냉동)고메 버터 크루아상,빵류,냉동보관(-18℃이하) / 제조일로부터 9개월,,주식회사 더블스윗,2023048916890,20250723,20250807
샌드위치,샌드위치,(냉동)깜빠뉴샌드위치빵,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388217,20200320,20240813
볶음밥,볶음밥,(냉동)나나네 볶음밥 야채,과.채가공품,제조일로 24개월,,(주)케이푸드,20040614770306,20240131,20240208
카레,카레,(냉동)나나네 카레 야채,과.채가공품,제조일로 24개월,,(주)케이푸드,20040614770309,20240131,20240208
차,차,(냉동)녹차롤,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388139,20170621,20250730
무,무,(냉동)녹차무스케익,빵류,제조일로부터 6개월까지,-18℃이하 냉동보관시 제조일로부터 6개월,(주)북해도스위트코리아,2014045904050,20240807,20251014
차,차,(냉동)녹차휘낭시에,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388353,20210728,20240327
치즈,치즈,(냉동)뉴욕치즈,빵류,90일,,(주)현대그린푸드 베이커리공장,2016027538812,20161226,20250726
치즈,치즈,(냉동)뉴욕치즈,빵류,제조일로부터 6개월까지,-18℃이하 냉동보관시 제조일로부터 6개월,(주)북해도스위트코리아,2014045904048,20240805,20250709
치즈,치즈,(냉동)뉴욕치즈타르트,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388178,20181001,20240326
떡볶이,떡볶이,(냉동)담짜 떡볶이,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),20210212298174,20260323,20260326
