sourceKeyword,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
우유,(가또)미니우유케이크,빵류,제조일로부터 12개월,,(주)가또케익,20040347013423,20250630,20250719
우유,(냉)탕종우유식빵,빵류,제조일부터 9개월까지(-18℃ 이하),,(주)비씨2000,20120275156162,20220119,20230824
우유,(냉)통밀우유식빵,빵류,제조일로부터 9개월까지,,(주)비씨2000,20120275156241,20250507,20250509
우유,(생)성이시돌우유식빵,빵류,제조일로부터 냉동 180일,,나폴레옹베이커리,2018010887636,20200616,20200622
우유,(생)우유식빵,빵류,제조일로부터 9개월까지,,(주)블랑제리 김영모,201502753169,20150820,20240806
우유,(조각케익)우유생크림,빵류,제조일로부터 9개월까지 (냉동),,(주)샤니,197102750035479,20240528,20260101
우유,100%우유모닝빵용생지,빵류,제조일로부터 90일까지,제조일로부터 90일 / 해동 후 재냉동 금지,엔블랑제리,2023006794417,20250923,20250930
우유,100%우유식빵,빵류,제조일로부터 10일,,주식회사 케이지알,2024029162190,20260325,20260328
우유,100%우유식빵(통식빵),빵류,제조일로부터 10일,,주식회사 케이지알,2024029162194,20260424,20260429
우유,100%우유식빵용생지,빵류,제조일로부터 90일까지,,엔블랑제리,2023006794414,20240716,20240717
우유,10리터 우유빙수,빙과,,해당없음.,(주)라벨리,1986052001284,20240522,20240523
우유,17)우유카스타드RTB,당류가공품,제조일로부터 17일,,주식회사샤니,199301880911980,20171201,20230329
우유,18)우유카스타드RTB,당류가공품,제조일로부터 6개월까지 (냉동),,주식회사샤니,199301880912229,20200619,20250905
우유,1A 우유로 만든 치즈케익,빵류,제조일로부터 10일까지 (실온),,주식회사삼립,199503380158989,20241010,20241012
우유,1A우유모닝롤,빵류,제조일로부터 10일까지(실온),,주식회사삼립,199503380159249,20260220,20260221
우유,1A우유식빵,빵류,제조일로부터 10일까지 (실온),,주식회사삼립,199503380158998,20241010,20241012
우유,22)우유카스타드,당류가공품,제조일로부터 33일까지(냉장),,주식회사샤니,199301880912459,20230104,20230329
우유,B)우유&부드러운고구마피스,빵류,180일(냉동),,씨제이푸드빌주식회사,199704451441075,20111027,20260206
우유,B)우유브레드냉동반죽,빵류,180일,,씨제이푸드빌주식회사,199704451444642,20210923,20230718
우유,BNK오레오우유케익,빵류,냉동 6개월,,주식회사 뚜아모아,20070263506159,20180710,20240402
요거트,(H)더블베리요거트피스,빵류,180일,,씨제이푸드빌주식회사,199704451444116,20240129,20250412
요거트,(H)트리플베리요거트피스,빵류,180일,,씨제이푸드빌주식회사,199704451444118,20240214,20250412
요거트,(NEW)P카사타 요거트 블루베리,빵류,제조일로부터 냉동( -18°C이하 ) 4개월 까지,,(주)파리크라상,200601812661243,20250509,20250515
요거트,(요아정)요거트파우더,당류가공품,제조일로부터 2년,,주식회사 컵풀,20130345125362,20250825,20250925
요거트,(잇모닝)포시즌딸기요거트케이크,빵류,제조일로부터 12개월까지,,(주)데이드림,202504083469,20250731,20260416
요거트,042 요거트파우더,당류가공품,24개월,,(주)대호식품,20020368481793,20250819,20250820
요거트,051요거트파우더,당류가공품,18개월,,(주)베오베,20170347016192,20221205,20221206
요거트,1847 요거트파우더,당류가공품,제조일로부터 18개월,,(주)나래푸드텍,20090358371572,20260413,20260418
요거트,2H요거트베이스,당류가공품,제조일로부터 18개월,,(주)신광식품,19940607230451,20180305,20180307
요거트,32파르페요거트소프트아이스,당류가공품,24개월,,(주)대호식품,20020368481626,20230822,20230826
요거트,6곡요(쌀누룩 발효 비건 요거트),기타 농산가공품,제조일로부터 냉동 6개월,,여룩,202607910511,20260218,20260417
요거트,6초 완전한끼 바나나 요거트 맛,기타가공품,제조일로부터 2년,,다원바이오,20150182104824,20210813,20210818
요거트,7번가피자 홀스레디쉬요거트소스,소스,제조일부터 6개월 (냉장보관),,(주)동원홈푸드,20190442149951,20211125,20211126
요거트,7번가피자 홀스레디쉬요거트소스,소스,제조일부터 6개월 (냉장보관),,(주)동원홈푸드,2002046107312728,20211125,20211127
요거트,7번가피자홀스레디쉬요거트소스,소스,제조일로부터 4개월,,태원식품산업(주),1985031100110482,20210311,20210319
요거트,91컴퍼니요거트소스,소스,제조일부터 6개월 (냉장보관),,(주)동원홈푸드,2002046107314488,20240202,20240206
요거트,91컴퍼니요거트소스,소스,제조일부터 6개월 (냉장보관),,(주)동원홈푸드,201904421491942,20240202,20240206
요거트,A 요거트 파우더,당류가공품,제조일로부터 18개월까지,,주식회사 이노라이즈컴퍼니,20120358156373,20240304,20240306
